No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date,Prod.code,U.S. viewers(millions)
6,6,"""Cat Fingers""",Ian Jones-Quartey (supervising)Kevin Dart (art),"Kat Morris, Hilary Florido, Ian Jones-Quartey, and Rebecca Sugar","November 25, 2013",1020-005,1.71[9]
"Trying to master his shapeshifting abilities, Steven turns his fingers into cats, which get out of control.","Trying to master his shapeshifting abilities, Steven turns his fingers into cats, which get out of control.","Trying to master his shapeshifting abilities, Steven turns his fingers into cats, which get out of control.","Trying to master his shapeshifting abilities, Steven turns his fingers into cats, which get out of control.","Trying to master his shapeshifting abilities, Steven turns his fingers into cats, which get out of control.","Trying to master his shapeshifting abilities, Steven turns his fingers into cats, which get out of control.","Trying to master his shapeshifting abilities, Steven turns his fingers into cats, which get out of control.","Trying to master his shapeshifting abilities, Steven turns his fingers into cats, which get out of control."
7,7,"""Bubble Buddies""",Ian Jones-Quartey (supervising)Kevin Dart (art),Kat Morris and Aleth Romanillos,"December 2, 2013",1020-006,1.61[10]
"Steven forms a magic bubble around himself and a girl named Connie to save her from a falling rock, but he has no idea how to make it disappear.","Steven forms a magic bubble around himself and a girl named Connie to save her from a falling rock, but he has no idea how to make it disappear.","Steven forms a magic bubble around himself and a girl named Connie to save her from a falling rock, but he has no idea how to make it disappear.","Steven forms a magic bubble around himself and a girl named Connie to save her from a falling rock, but he has no idea how to make it disappear.","Steven forms a magic bubble around himself and a girl named Connie to save her from a falling rock, but he has no idea how to make it disappear.","Steven forms a magic bubble around himself and a girl named Connie to save her from a falling rock, but he has no idea how to make it disappear.","Steven forms a magic bubble around himself and a girl named Connie to save her from a falling rock, but he has no idea how to make it disappear.","Steven forms a magic bubble around himself and a girl named Connie to save her from a falling rock, but he has no idea how to make it disappear."
8,8,"""Serious Steven""",Ian Jones-Quartey (supervising)Kevin Dart (art),Joe Johnston and Jeff Liu,"January 13, 2014",1020-007,1.35[11]
"While navigating through an ancient Gem maze, Steven tries to prove to the Gems that he can take the mission seriously.","While navigating through an ancient Gem maze, Steven tries to prove to the Gems that he can take the mission seriously.","While navigating through an ancient Gem maze, Steven tries to prove to the Gems that he can take the mission seriously.","While navigating through an ancient Gem maze, Steven tries to prove to the Gems that he can take the mission seriously.","While navigating through an ancient Gem maze, Steven tries to prove to the Gems that he can take the mission seriously.","While navigating through an ancient Gem maze, Steven tries to prove to the Gems that he can take the mission seriously.","While navigating through an ancient Gem maze, Steven tries to prove to the Gems that he can take the mission seriously.","While navigating through an ancient Gem maze, Steven tries to prove to the Gems that he can take the mission seriously."
9,9,"""Tiger Millionaire""",Ian Jones-Quartey (supervising)Kevin Dart (art),Raven M. Molisee and Paul Villeco,"January 20, 2014",1020-011,1.57[12]
"Steven joins an underground wrestling league with Amethyst, who's tired of Garnet and Pearl bringing her down.","Steven joins an underground wrestling league with Amethyst, who's tired of Garnet and Pearl bringing her down.","Steven joins an underground wrestling league with Amethyst, who's tired of Garnet and Pearl bringing her down.","Steven joins an underground wrestling league with Amethyst, who's tired of Garnet and Pearl bringing her down.","Steven joins an underground wrestling league with Amethyst, who's tired of Garnet and Pearl bringing her down.","Steven joins an underground wrestling league with Amethyst, who's tired of Garnet and Pearl bringing her down.","Steven joins an underground wrestling league with Amethyst, who's tired of Garnet and Pearl bringing her down.","Steven joins an underground wrestling league with Amethyst, who's tired of Garnet and Pearl bringing her down."
10,10,"""Steven's Lion""",Ian Jones-Quartey (supervising)Kevin Dart and Elle Michalka (art),Lamar Abrams and Aleth Romanillos,"January 27, 2014",1020-012,1.51[13]
Steven befriends a magical lion he finds in the desert during a mission.,Steven befriends a magical lion he finds in the desert during a mission.,Steven befriends a magical lion he finds in the desert during a mission.,Steven befriends a magical lion he finds in the desert during a mission.,Steven befriends a magical lion he finds in the desert during a mission.,Steven befriends a magical lion he finds in the desert during a mission.,Steven befriends a magical lion he finds in the desert during a mission.,Steven befriends a magical lion he finds in the desert during a mission.
11,11,"""Arcade Mania""",Ian Jones-Quartey (supervising)Kevin Dart (art),"Lamar Abrams, Aleth Romanillos, and Luke Weber","February 17, 2014",1020-009,1.17[14]
"Steven takes the Gems to the Funland Arcade, where Garnet becomes enchanted by a rhythm game.","Steven takes the Gems to the Funland Arcade, where Garnet becomes enchanted by a rhythm game.","Steven takes the Gems to the Funland Arcade, where Garnet becomes enchanted by a rhythm game.","Steven takes the Gems to the Funland Arcade, where Garnet becomes enchanted by a rhythm game.","Steven takes the Gems to the Funland Arcade, where Garnet becomes enchanted by a rhythm game.","Steven takes the Gems to the Funland Arcade, where Garnet becomes enchanted by a rhythm game.","Steven takes the Gems to the Funland Arcade, where Garnet becomes enchanted by a rhythm game.","Steven takes the Gems to the Funland Arcade, where Garnet becomes enchanted by a rhythm game."
12,12,"""Giant Woman""",Ian Jones-Quartey (supervising)Kevin Dart (art),Joe Johnston and Jeff Liu,"February 24, 2014",1020-010,1.89[15]
"Steven encourages Amethyst and Pearl to fuse together into a four-armed ""giant woman"" named Opal, but Amethyst and Pearl keep quarrelling.","Steven encourages Amethyst and Pearl to fuse together into a four-armed ""giant woman"" named Opal, but Amethyst and Pearl keep quarrelling.","Steven encourages Amethyst and Pearl to fuse together into a four-armed ""giant woman"" named Opal, but Amethyst and Pearl keep quarrelling.","Steven encourages Amethyst and Pearl to fuse together into a four-armed ""giant woman"" named Opal, but Amethyst and Pearl keep quarrelling.","Steven encourages Amethyst and Pearl to fuse together into a four-armed ""giant woman"" named Opal, but Amethyst and Pearl keep quarrelling.","Steven encourages Amethyst and Pearl to fuse together into a four-armed ""giant woman"" named Opal, but Amethyst and Pearl keep quarrelling.","Steven encourages Amethyst and Pearl to fuse together into a four-armed ""giant woman"" named Opal, but Amethyst and Pearl keep quarrelling.","Steven encourages Amethyst and Pearl to fuse together into a four-armed ""giant woman"" named Opal, but Amethyst and Pearl keep quarrelling."
13,13,"""So Many Birthdays""",Ian Jones-Quartey (supervising)Elle Michalka (art),Raven M. Molisee and Paul Villeco,"March 3, 2014",1020-014,1.17[16]
"After learning that the Gems are thousands of years old, Steven throws a party to make up for all the birthdays they've missed, and he begins to worry about what it means to grow up himself.","After learning that the Gems are thousands of years old, Steven throws a party to make up for all the birthdays they've missed, and he begins to worry about what it means to grow up himself.","After learning that the Gems are thousands of years old, Steven throws a party to make up for all the birthdays they've missed, and he begins to worry about what it means to grow up himself.","After learning that the Gems are thousands of years old, Steven throws a party to make up for all the birthdays they've missed, and he begins to worry about what it means to grow up himself.","After learning that the Gems are thousands of years old, Steven throws a party to make up for all the birthdays they've missed, and he begins to worry about what it means to grow up himself.","After learning that the Gems are thousands of years old, Steven throws a party to make up for all the birthdays they've missed, and he begins to worry about what it means to grow up himself.","After learning that the Gems are thousands of years old, Steven throws a party to make up for all the birthdays they've missed, and he begins to worry about what it means to grow up himself.","After learning that the Gems are thousands of years old, Steven throws a party to make up for all the birthdays they've missed, and he begins to worry about what it means to grow up himself."
14,14,"""Lars and the Cool Kids""",Ian Jones-Quartey (supervising)Elle Michalka (art),Lamar Abrams and Matt Braly,"March 10, 2014",1020-015,1.50[17]
"Steven and Lars hang out with the cool kids—Jenny Pizza, Buck Dewey, and Sour Cream—but their teenage shenanigans get them into magical trouble.","Steven and Lars hang out with the cool kids—Jenny Pizza, Buck Dewey, and Sour Cream—but their teenage shenanigans get them into magical trouble.","Steven and Lars hang out with the cool kids—Jenny Pizza, Buck Dewey, and Sour Cream—but their teenage shenanigans get them into magical trouble.","Steven and Lars hang out with the cool kids—Jenny Pizza, Buck Dewey, and Sour Cream—but their teenage shenanigans get them into magical trouble.","Steven and Lars hang out with the cool kids—Jenny Pizza, Buck Dewey, and Sour Cream—but their teenage shenanigans get them into magical trouble.","Steven and Lars hang out with the cool kids—Jenny Pizza, Buck Dewey, and Sour Cream—but their teenage shenanigans get them into magical trouble.","Steven and Lars hang out with the cool kids—Jenny Pizza, Buck Dewey, and Sour Cream—but their teenage shenanigans get them into magical trouble.","Steven and Lars hang out with the cool kids—Jenny Pizza, Buck Dewey, and Sour Cream—but their teenage shenanigans get them into magical trouble."
15,15,"""Onion Trade""",Ian Jones-Quartey (supervising)Elle Michalka (art),Lamar Abrams,"March 17, 2014",1020-018,1.79[18]
A toy trade between Steven and Onion escalates into epic proportions.,A toy trade between Steven and Onion escalates into epic proportions.,A toy trade between Steven and Onion escalates into epic proportions.,A toy trade between Steven and Onion escalates into epic proportions.,A toy trade between Steven and Onion escalates into epic proportions.,A toy trade between Steven and Onion escalates into epic proportions.,A toy trade between Steven and Onion escalates into epic proportions.,A toy trade between Steven and Onion escalates into epic proportions.
16,16,"""Steven the Sword Fighter""",Ian Jones-Quartey (supervising)Elle Michalka (art),Joe Johnston and Jeff Liu,"April 9, 2014",1020-013,1.10[19]
Pearl's attempt to teach Steven the art of sword-fighting using a holographic version of herself goes awry when she gets injured and has to retreat into her gem to heal.,Pearl's attempt to teach Steven the art of sword-fighting using a holographic version of herself goes awry when she gets injured and has to retreat into her gem to heal.,Pearl's attempt to teach Steven the art of sword-fighting using a holographic version of herself goes awry when she gets injured and has to retreat into her gem to heal.,Pearl's attempt to teach Steven the art of sword-fighting using a holographic version of herself goes awry when she gets injured and has to retreat into her gem to heal.,Pearl's attempt to teach Steven the art of sword-fighting using a holographic version of herself goes awry when she gets injured and has to retreat into her gem to heal.,Pearl's attempt to teach Steven the art of sword-fighting using a holographic version of herself goes awry when she gets injured and has to retreat into her gem to heal.,Pearl's attempt to teach Steven the art of sword-fighting using a holographic version of herself goes awry when she gets injured and has to retreat into her gem to heal.,Pearl's attempt to teach Steven the art of sword-fighting using a holographic version of herself goes awry when she gets injured and has to retreat into her gem to heal.
17,17,"""Lion 2: The Movie""",Ian Jones-Quartey (supervising)Elle Michalka (art),Joe Johnston and Jeff Liu,"April 23, 2014",1020-017,1.57[20]
"Steven and Connie try to ride Lion to the movie theater, but Lion instead takes them to a mysterious Gem armory.","Steven and Connie try to ride Lion to the movie theater, but Lion instead takes them to a mysterious Gem armory.","Steven and Connie try to ride Lion to the movie theater, but Lion instead takes them to a mysterious Gem armory.","Steven and Connie try to ride Lion to the movie theater, but Lion instead takes them to a mysterious Gem armory.","Steven and Connie try to ride Lion to the movie theater, but Lion instead takes them to a mysterious Gem armory.","Steven and Connie try to ride Lion to the movie theater, but Lion instead takes them to a mysterious Gem armory.","Steven and Connie try to ride Lion to the movie theater, but Lion instead takes them to a mysterious Gem armory.","Steven and Connie try to ride Lion to the movie theater, but Lion instead takes them to a mysterious Gem armory."
18,18,"""Beach Party""",Ian Jones-Quartey (supervising)Elle Michalka (art),Lamar Abrams,"April 30, 2014",1020-020,1.44[21]
"After a battle damages the Fish Stew Pizza sign, the Gems are banned from the restaurant, so Steven throws a cookout on the beachside to mend the relationship between the Pizza family and the Gems.","After a battle damages the Fish Stew Pizza sign, the Gems are banned from the restaurant, so Steven throws a cookout on the beachside to mend the relationship between the Pizza family and the Gems.","After a battle damages the Fish Stew Pizza sign, the Gems are banned from the restaurant, so Steven throws a cookout on the beachside to mend the relationship between the Pizza family and the Gems.","After a battle damages the Fish Stew Pizza sign, the Gems are banned from the restaurant, so Steven throws a cookout on the beachside to mend the relationship between the Pizza family and the Gems.","After a battle damages the Fish Stew Pizza sign, the Gems are banned from the restaurant, so Steven throws a cookout on the beachside to mend the relationship between the Pizza family and the Gems.","After a battle damages the Fish Stew Pizza sign, the Gems are banned from the restaurant, so Steven throws a cookout on the beachside to mend the relationship between the Pizza family and the Gems.","After a battle damages the Fish Stew Pizza sign, the Gems are banned from the restaurant, so Steven throws a cookout on the beachside to mend the relationship between the Pizza family and the Gems.","After a battle damages the Fish Stew Pizza sign, the Gems are banned from the restaurant, so Steven throws a cookout on the beachside to mend the relationship between the Pizza family and the Gems."
19,19,"""Rose's Room""",Ian Jones-Quartey (supervising)Elle Michalka (art),Joe Johnston and Jeff Liu,"May 14, 2014",1020-019,1.55[22]
Steven's desire for some alone time unlocks a room in the temple that answers his every wish.,Steven's desire for some alone time unlocks a room in the temple that answers his every wish.,Steven's desire for some alone time unlocks a room in the temple that answers his every wish.,Steven's desire for some alone time unlocks a room in the temple that answers his every wish.,Steven's desire for some alone time unlocks a room in the temple that answers his every wish.,Steven's desire for some alone time unlocks a room in the temple that answers his every wish.,Steven's desire for some alone time unlocks a room in the temple that answers his every wish.,Steven's desire for some alone time unlocks a room in the temple that answers his every wish.
20,20,"""Coach Steven""",Ian Jones-Quartey (supervising)Elle Michalka (art),Raven M. Molisee and Paul Villeco,"August 21, 2014",1020-016,1.85[23]
"Against Pearl's advice, Steven becomes determined to get stronger after watching Garnet and Amethyst fuse into the mighty (and destructive) Sugilite.","Against Pearl's advice, Steven becomes determined to get stronger after watching Garnet and Amethyst fuse into the mighty (and destructive) Sugilite.","Against Pearl's advice, Steven becomes determined to get stronger after watching Garnet and Amethyst fuse into the mighty (and destructive) Sugilite.","Against Pearl's advice, Steven becomes determined to get stronger after watching Garnet and Amethyst fuse into the mighty (and destructive) Sugilite.","Against Pearl's advice, Steven becomes determined to get stronger after watching Garnet and Amethyst fuse into the mighty (and destructive) Sugilite.","Against Pearl's advice, Steven becomes determined to get stronger after watching Garnet and Amethyst fuse into the mighty (and destructive) Sugilite.","Against Pearl's advice, Steven becomes determined to get stronger after watching Garnet and Amethyst fuse into the mighty (and destructive) Sugilite.","Against Pearl's advice, Steven becomes determined to get stronger after watching Garnet and Amethyst fuse into the mighty (and destructive) Sugilite."
21,21,"""Joking Victim""",Ian Jones-Quartey (supervising)Elle Michalka (art),Raven M. Molisee and Paul Villeco,"August 28, 2014",1020-024,1.63[24]
"When Lars fakes an injury to take a sick day from work, Steven helps Sadie out at the Big Donut, and they pull a prank on Lars to get back at him.","When Lars fakes an injury to take a sick day from work, Steven helps Sadie out at the Big Donut, and they pull a prank on Lars to get back at him.","When Lars fakes an injury to take a sick day from work, Steven helps Sadie out at the Big Donut, and they pull a prank on Lars to get back at him.","When Lars fakes an injury to take a sick day from work, Steven helps Sadie out at the Big Donut, and they pull a prank on Lars to get back at him.","When Lars fakes an injury to take a sick day from work, Steven helps Sadie out at the Big Donut, and they pull a prank on Lars to get back at him.","When Lars fakes an injury to take a sick day from work, Steven helps Sadie out at the Big Donut, and they pull a prank on Lars to get back at him.","When Lars fakes an injury to take a sick day from work, Steven helps Sadie out at the Big Donut, and they pull a prank on Lars to get back at him.","When Lars fakes an injury to take a sick day from work, Steven helps Sadie out at the Big Donut, and they pull a prank on Lars to get back at him."
22,22,"""Steven and the Stevens""",Ian Jones-Quartey (supervising)Elle Michalka (art),Joe Johnston and Jeff Liu,"September 4, 2014",1020-021,2.14[25]
"Steven needs a musical partner for an upcoming show, so he uses a time travel device to recruit himself as the perfect bandmate. This episode re-uses the time-travel device from the non-canonical pilot episode.","Steven needs a musical partner for an upcoming show, so he uses a time travel device to recruit himself as the perfect bandmate. This episode re-uses the time-travel device from the non-canonical pilot episode.","Steven needs a musical partner for an upcoming show, so he uses a time travel device to recruit himself as the perfect bandmate. This episode re-uses the time-travel device from the non-canonical pilot episode.","Steven needs a musical partner for an upcoming show, so he uses a time travel device to recruit himself as the perfect bandmate. This episode re-uses the time-travel device from the non-canonical pilot episode.","Steven needs a musical partner for an upcoming show, so he uses a time travel device to recruit himself as the perfect bandmate. This episode re-uses the time-travel device from the non-canonical pilot episode.","Steven needs a musical partner for an upcoming show, so he uses a time travel device to recruit himself as the perfect bandmate. This episode re-uses the time-travel device from the non-canonical pilot episode.","Steven needs a musical partner for an upcoming show, so he uses a time travel device to recruit himself as the perfect bandmate. This episode re-uses the time-travel device from the non-canonical pilot episode.","Steven needs a musical partner for an upcoming show, so he uses a time travel device to recruit himself as the perfect bandmate. This episode re-uses the time-travel device from the non-canonical pilot episode."
23,23,"""Monster Buddies""",Ian Jones-Quartey (supervising)Elle Michalka (art),Lamar Abrams and Hellen Jo,"September 11, 2014",1020-022,2.07[26]
Steven accidentally releases a captured Gem monster from her bubble and attempts to tame her wild form.,Steven accidentally releases a captured Gem monster from her bubble and attempts to tame her wild form.,Steven accidentally releases a captured Gem monster from her bubble and attempts to tame her wild form.,Steven accidentally releases a captured Gem monster from her bubble and attempts to tame her wild form.,Steven accidentally releases a captured Gem monster from her bubble and attempts to tame her wild form.,Steven accidentally releases a captured Gem monster from her bubble and attempts to tame her wild form.,Steven accidentally releases a captured Gem monster from her bubble and attempts to tame her wild form.,Steven accidentally releases a captured Gem monster from her bubble and attempts to tame her wild form.
24,24,"""An Indirect Kiss""",Ian Jones-Quartey (supervising)Elle Michalka (art),Raven M. Molisee and Paul Villeco,"September 18, 2014",1020-023,1.73[27]
Steven tells Connie about his mission with the Gems to heal Amethyst when she cracked her gem.,Steven tells Connie about his mission with the Gems to heal Amethyst when she cracked her gem.,Steven tells Connie about his mission with the Gems to heal Amethyst when she cracked her gem.,Steven tells Connie about his mission with the Gems to heal Amethyst when she cracked her gem.,Steven tells Connie about his mission with the Gems to heal Amethyst when she cracked her gem.,Steven tells Connie about his mission with the Gems to heal Amethyst when she cracked her gem.,Steven tells Connie about his mission with the Gems to heal Amethyst when she cracked her gem.,Steven tells Connie about his mission with the Gems to heal Amethyst when she cracked her gem.
25,25,"""Mirror Gem"" (Part 1)",Ian Jones-Quartey (supervising)Elle Michalka (art),Raven M. Molisee and Paul Villeco,"September 25, 2014",1020-025,2.34[28]
"Steven befriends a magical mirror that can mysteriously communicate with him, and ends up freeing its prisoner: Lapis Lazuli, another mysterious Gem.","Steven befriends a magical mirror that can mysteriously communicate with him, and ends up freeing its prisoner: Lapis Lazuli, another mysterious Gem.","Steven befriends a magical mirror that can mysteriously communicate with him, and ends up freeing its prisoner: Lapis Lazuli, another mysterious Gem.","Steven befriends a magical mirror that can mysteriously communicate with him, and ends up freeing its prisoner: Lapis Lazuli, another mysterious Gem.","Steven befriends a magical mirror that can mysteriously communicate with him, and ends up freeing its prisoner: Lapis Lazuli, another mysterious Gem.","Steven befriends a magical mirror that can mysteriously communicate with him, and ends up freeing its prisoner: Lapis Lazuli, another mysterious Gem.","Steven befriends a magical mirror that can mysteriously communicate with him, and ends up freeing its prisoner: Lapis Lazuli, another mysterious Gem.","Steven befriends a magical mirror that can mysteriously communicate with him, and ends up freeing its prisoner: Lapis Lazuli, another mysterious Gem."
26,26,"""Ocean Gem"" (Part 2)",Ian Jones-Quartey (supervising)Elle Michalka (art),Joe Johnston and Jeff Liu,"September 25, 2014",1020-026,2.34[28]
"Lapis Lazuli disappears after reigniting a past conflict with the three Crystal Gems and takes the ocean with her, leaving Beach City in a panic on the first day of summer. Steven, Connie, Greg, Lion and the Gems go on a mission to confront Lapis and set things right.","Lapis Lazuli disappears after reigniting a past conflict with the three Crystal Gems and takes the ocean with her, leaving Beach City in a panic on the first day of summer. Steven, Connie, Greg, Lion and the Gems go on a mission to confront Lapis and set things right.","Lapis Lazuli disappears after reigniting a past conflict with the three Crystal Gems and takes the ocean with her, leaving Beach City in a panic on the first day of summer. Steven, Connie, Greg, Lion and the Gems go on a mission to confront Lapis and set things right.","Lapis Lazuli disappears after reigniting a past conflict with the three Crystal Gems and takes the ocean with her, leaving Beach City in a panic on the first day of summer. Steven, Connie, Greg, Lion and the Gems go on a mission to confront Lapis and set things right.","Lapis Lazuli disappears after reigniting a past conflict with the three Crystal Gems and takes the ocean with her, leaving Beach City in a panic on the first day of summer. Steven, Connie, Greg, Lion and the Gems go on a mission to confront Lapis and set things right.","Lapis Lazuli disappears after reigniting a past conflict with the three Crystal Gems and takes the ocean with her, leaving Beach City in a panic on the first day of summer. Steven, Connie, Greg, Lion and the Gems go on a mission to confront Lapis and set things right.","Lapis Lazuli disappears after reigniting a past conflict with the three Crystal Gems and takes the ocean with her, leaving Beach City in a panic on the first day of summer. Steven, Connie, Greg, Lion and the Gems go on a mission to confront Lapis and set things right.","Lapis Lazuli disappears after reigniting a past conflict with the three Crystal Gems and takes the ocean with her, leaving Beach City in a panic on the first day of summer. Steven, Connie, Greg, Lion and the Gems go on a mission to confront Lapis and set things right."
27,27,"""House Guest""",Ian Jones-Quartey (supervising)Elle Michalka (art),Lamar Abrams and Hellen Jo,"October 2, 2014",1026-027,2.00[29]
