No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date,Prod.code [84],U.S. viewers(millions)
"Steven begins to have a strange dream that causes him to cry, which he quickly realizes is related to Pink Diamond. When he asks the Gems to give him information about Pink Diamond, they refuse to give any, so Steven and Greg travel to Korea to find the truth themselves.","Steven begins to have a strange dream that causes him to cry, which he quickly realizes is related to Pink Diamond. When he asks the Gems to give him information about Pink Diamond, they refuse to give any, so Steven and Greg travel to Korea to find the truth themselves.","Steven begins to have a strange dream that causes him to cry, which he quickly realizes is related to Pink Diamond. When he asks the Gems to give him information about Pink Diamond, they refuse to give any, so Steven and Greg travel to Korea to find the truth themselves.","Steven begins to have a strange dream that causes him to cry, which he quickly realizes is related to Pink Diamond. When he asks the Gems to give him information about Pink Diamond, they refuse to give any, so Steven and Greg travel to Korea to find the truth themselves.","Steven begins to have a strange dream that causes him to cry, which he quickly realizes is related to Pink Diamond. When he asks the Gems to give him information about Pink Diamond, they refuse to give any, so Steven and Greg travel to Korea to find the truth themselves.","Steven begins to have a strange dream that causes him to cry, which he quickly realizes is related to Pink Diamond. When he asks the Gems to give him information about Pink Diamond, they refuse to give any, so Steven and Greg travel to Korea to find the truth themselves.","Steven begins to have a strange dream that causes him to cry, which he quickly realizes is related to Pink Diamond. When he asks the Gems to give him information about Pink Diamond, they refuse to give any, so Steven and Greg travel to Korea to find the truth themselves.","Steven begins to have a strange dream that causes him to cry, which he quickly realizes is related to Pink Diamond. When he asks the Gems to give him information about Pink Diamond, they refuse to give any, so Steven and Greg travel to Korea to find the truth themselves."
115,12,"""Adventures in Light Distortion""",Kat Morris (supervising)Ricky Cometa (art),Raven M. Molisee and Paul Villeco[nb 12],"January 30, 2017[nb 13]",1040-117,1.36[116]
"After Greg is abducted by Blue Diamond, Steven and the Gems rush off into space with the Rubies' ship to rescue him. Faster-than-light travel has unexpected effects on the Gems' bodies, and in Steven's haste, he puts himself and the Gems in danger.","After Greg is abducted by Blue Diamond, Steven and the Gems rush off into space with the Rubies' ship to rescue him. Faster-than-light travel has unexpected effects on the Gems' bodies, and in Steven's haste, he puts himself and the Gems in danger.","After Greg is abducted by Blue Diamond, Steven and the Gems rush off into space with the Rubies' ship to rescue him. Faster-than-light travel has unexpected effects on the Gems' bodies, and in Steven's haste, he puts himself and the Gems in danger.","After Greg is abducted by Blue Diamond, Steven and the Gems rush off into space with the Rubies' ship to rescue him. Faster-than-light travel has unexpected effects on the Gems' bodies, and in Steven's haste, he puts himself and the Gems in danger.","After Greg is abducted by Blue Diamond, Steven and the Gems rush off into space with the Rubies' ship to rescue him. Faster-than-light travel has unexpected effects on the Gems' bodies, and in Steven's haste, he puts himself and the Gems in danger.","After Greg is abducted by Blue Diamond, Steven and the Gems rush off into space with the Rubies' ship to rescue him. Faster-than-light travel has unexpected effects on the Gems' bodies, and in Steven's haste, he puts himself and the Gems in danger.","After Greg is abducted by Blue Diamond, Steven and the Gems rush off into space with the Rubies' ship to rescue him. Faster-than-light travel has unexpected effects on the Gems' bodies, and in Steven's haste, he puts himself and the Gems in danger.","After Greg is abducted by Blue Diamond, Steven and the Gems rush off into space with the Rubies' ship to rescue him. Faster-than-light travel has unexpected effects on the Gems' bodies, and in Steven's haste, he puts himself and the Gems in danger."
116,13,"""Gem Heist""",Kat Morris (supervising)Ricky Cometa (art),Hilary Florido and Jesse Zuke,"January 31, 2017[nb 13]",1040-118,1.25[117]
"The Gems reach a space station that once belonged to Pink Diamond, and sneak in to rescue Greg, but in order to do so, they must play the roles they were made for, so as not to arouse suspicion.","The Gems reach a space station that once belonged to Pink Diamond, and sneak in to rescue Greg, but in order to do so, they must play the roles they were made for, so as not to arouse suspicion.","The Gems reach a space station that once belonged to Pink Diamond, and sneak in to rescue Greg, but in order to do so, they must play the roles they were made for, so as not to arouse suspicion.","The Gems reach a space station that once belonged to Pink Diamond, and sneak in to rescue Greg, but in order to do so, they must play the roles they were made for, so as not to arouse suspicion.","The Gems reach a space station that once belonged to Pink Diamond, and sneak in to rescue Greg, but in order to do so, they must play the roles they were made for, so as not to arouse suspicion.","The Gems reach a space station that once belonged to Pink Diamond, and sneak in to rescue Greg, but in order to do so, they must play the roles they were made for, so as not to arouse suspicion.","The Gems reach a space station that once belonged to Pink Diamond, and sneak in to rescue Greg, but in order to do so, they must play the roles they were made for, so as not to arouse suspicion.","The Gems reach a space station that once belonged to Pink Diamond, and sneak in to rescue Greg, but in order to do so, they must play the roles they were made for, so as not to arouse suspicion."
117,14,"""The Zoo""",Joe Johnston (supervising)Ricky Cometa and Elle Michalka (art),Lamar Abrams and Katie Mitroff,"February 1, 2017[nb 13]",1040-119,1.23[118]
"Steven finds Greg in Pink Diamond's ""Human Zoo"", and tries to look for a way out. This proves easier said than done as the humans there are guided through a strictly scheduled and regimented life.","Steven finds Greg in Pink Diamond's ""Human Zoo"", and tries to look for a way out. This proves easier said than done as the humans there are guided through a strictly scheduled and regimented life.","Steven finds Greg in Pink Diamond's ""Human Zoo"", and tries to look for a way out. This proves easier said than done as the humans there are guided through a strictly scheduled and regimented life.","Steven finds Greg in Pink Diamond's ""Human Zoo"", and tries to look for a way out. This proves easier said than done as the humans there are guided through a strictly scheduled and regimented life.","Steven finds Greg in Pink Diamond's ""Human Zoo"", and tries to look for a way out. This proves easier said than done as the humans there are guided through a strictly scheduled and regimented life.","Steven finds Greg in Pink Diamond's ""Human Zoo"", and tries to look for a way out. This proves easier said than done as the humans there are guided through a strictly scheduled and regimented life.","Steven finds Greg in Pink Diamond's ""Human Zoo"", and tries to look for a way out. This proves easier said than done as the humans there are guided through a strictly scheduled and regimented life.","Steven finds Greg in Pink Diamond's ""Human Zoo"", and tries to look for a way out. This proves easier said than done as the humans there are guided through a strictly scheduled and regimented life."
118,15,"""That Will Be All""",Joe Johnston (supervising)Ricky Cometa and Elle Michalka (art),"Colin Howard, Joe Johnston, and Rebecca Sugar","February 2, 2017[nb 13]",1040-120,1.15[119]
"While Blue Diamond and Yellow Diamond argue over their diverging ways of coping with Pink Diamond's death, Steven, Greg and the Crystal Gems attempt to escape the space station before they are discovered.","While Blue Diamond and Yellow Diamond argue over their diverging ways of coping with Pink Diamond's death, Steven, Greg and the Crystal Gems attempt to escape the space station before they are discovered.","While Blue Diamond and Yellow Diamond argue over their diverging ways of coping with Pink Diamond's death, Steven, Greg and the Crystal Gems attempt to escape the space station before they are discovered.","While Blue Diamond and Yellow Diamond argue over their diverging ways of coping with Pink Diamond's death, Steven, Greg and the Crystal Gems attempt to escape the space station before they are discovered.","While Blue Diamond and Yellow Diamond argue over their diverging ways of coping with Pink Diamond's death, Steven, Greg and the Crystal Gems attempt to escape the space station before they are discovered.","While Blue Diamond and Yellow Diamond argue over their diverging ways of coping with Pink Diamond's death, Steven, Greg and the Crystal Gems attempt to escape the space station before they are discovered.","While Blue Diamond and Yellow Diamond argue over their diverging ways of coping with Pink Diamond's death, Steven, Greg and the Crystal Gems attempt to escape the space station before they are discovered.","While Blue Diamond and Yellow Diamond argue over their diverging ways of coping with Pink Diamond's death, Steven, Greg and the Crystal Gems attempt to escape the space station before they are discovered."
119,16,"""The New Crystal Gems""",Kat Morris (supervising)Ricky Cometa (art),Raven M. Molisee and Paul Villeco,"February 10, 2017",1040-121,1.06[120]
"Connie tells Steven the story of how she, Peridot, and Lapis attempted to take the Crystal Gems' places as the protectors of Beach City while he was in space.","Connie tells Steven the story of how she, Peridot, and Lapis attempted to take the Crystal Gems' places as the protectors of Beach City while he was in space.","Connie tells Steven the story of how she, Peridot, and Lapis attempted to take the Crystal Gems' places as the protectors of Beach City while he was in space.","Connie tells Steven the story of how she, Peridot, and Lapis attempted to take the Crystal Gems' places as the protectors of Beach City while he was in space.","Connie tells Steven the story of how she, Peridot, and Lapis attempted to take the Crystal Gems' places as the protectors of Beach City while he was in space.","Connie tells Steven the story of how she, Peridot, and Lapis attempted to take the Crystal Gems' places as the protectors of Beach City while he was in space.","Connie tells Steven the story of how she, Peridot, and Lapis attempted to take the Crystal Gems' places as the protectors of Beach City while he was in space.","Connie tells Steven the story of how she, Peridot, and Lapis attempted to take the Crystal Gems' places as the protectors of Beach City while he was in space."
120,17,"""Storm in the Room""",Joe Johnston (supervising)Ricky Cometa (art),Colin Howard and Jeff Liu,"February 17, 2017",1040-124,1.02[121]
Steven uses his room in the temple to create a simulated image of Rose Quartz in order to try to experience what it would be like to know his mother. He ends up confronting her with his troubled feelings about her complex legacy and her choice to create him.,Steven uses his room in the temple to create a simulated image of Rose Quartz in order to try to experience what it would be like to know his mother. He ends up confronting her with his troubled feelings about her complex legacy and her choice to create him.,Steven uses his room in the temple to create a simulated image of Rose Quartz in order to try to experience what it would be like to know his mother. He ends up confronting her with his troubled feelings about her complex legacy and her choice to create him.,Steven uses his room in the temple to create a simulated image of Rose Quartz in order to try to experience what it would be like to know his mother. He ends up confronting her with his troubled feelings about her complex legacy and her choice to create him.,Steven uses his room in the temple to create a simulated image of Rose Quartz in order to try to experience what it would be like to know his mother. He ends up confronting her with his troubled feelings about her complex legacy and her choice to create him.,Steven uses his room in the temple to create a simulated image of Rose Quartz in order to try to experience what it would be like to know his mother. He ends up confronting her with his troubled feelings about her complex legacy and her choice to create him.,Steven uses his room in the temple to create a simulated image of Rose Quartz in order to try to experience what it would be like to know his mother. He ends up confronting her with his troubled feelings about her complex legacy and her choice to create him.,Steven uses his room in the temple to create a simulated image of Rose Quartz in order to try to experience what it would be like to know his mother. He ends up confronting her with his troubled feelings about her complex legacy and her choice to create him.
121,18,"""Rocknaldo""",Kat Morris (supervising)Ricky Cometa (art),Hilary Florido and Jesse Zuke,"February 24, 2017",1040-122,1.10[122]
"Ronaldo decides to join the Crystal Gems. However, once Steven lets him join the team, Ronaldo's self-centered attitude begins to try Steven's patience.","Ronaldo decides to join the Crystal Gems. However, once Steven lets him join the team, Ronaldo's self-centered attitude begins to try Steven's patience.","Ronaldo decides to join the Crystal Gems. However, once Steven lets him join the team, Ronaldo's self-centered attitude begins to try Steven's patience.","Ronaldo decides to join the Crystal Gems. However, once Steven lets him join the team, Ronaldo's self-centered attitude begins to try Steven's patience.","Ronaldo decides to join the Crystal Gems. However, once Steven lets him join the team, Ronaldo's self-centered attitude begins to try Steven's patience.","Ronaldo decides to join the Crystal Gems. However, once Steven lets him join the team, Ronaldo's self-centered attitude begins to try Steven's patience.","Ronaldo decides to join the Crystal Gems. However, once Steven lets him join the team, Ronaldo's self-centered attitude begins to try Steven's patience.","Ronaldo decides to join the Crystal Gems. However, once Steven lets him join the team, Ronaldo's self-centered attitude begins to try Steven's patience."
122,19,"""Tiger Philanthropist""",Joe Johnston (supervising)Ricky Cometa (art),Lamar Abrams and Katie Mitroff,"March 3, 2017",1040-123,0.90[123]
"When Amethyst quits wrestling at the abandoned warehouse, Steven continues doing so himself as Tiger Philanthropist. However, Steven soon begins to doubt the point of wrestling when the audience doesn't take to his new persona.","When Amethyst quits wrestling at the abandoned warehouse, Steven continues doing so himself as Tiger Philanthropist. However, Steven soon begins to doubt the point of wrestling when the audience doesn't take to his new persona.","When Amethyst quits wrestling at the abandoned warehouse, Steven continues doing so himself as Tiger Philanthropist. However, Steven soon begins to doubt the point of wrestling when the audience doesn't take to his new persona.","When Amethyst quits wrestling at the abandoned warehouse, Steven continues doing so himself as Tiger Philanthropist. However, Steven soon begins to doubt the point of wrestling when the audience doesn't take to his new persona.","When Amethyst quits wrestling at the abandoned warehouse, Steven continues doing so himself as Tiger Philanthropist. However, Steven soon begins to doubt the point of wrestling when the audience doesn't take to his new persona.","When Amethyst quits wrestling at the abandoned warehouse, Steven continues doing so himself as Tiger Philanthropist. However, Steven soon begins to doubt the point of wrestling when the audience doesn't take to his new persona.","When Amethyst quits wrestling at the abandoned warehouse, Steven continues doing so himself as Tiger Philanthropist. However, Steven soon begins to doubt the point of wrestling when the audience doesn't take to his new persona.","When Amethyst quits wrestling at the abandoned warehouse, Steven continues doing so himself as Tiger Philanthropist. However, Steven soon begins to doubt the point of wrestling when the audience doesn't take to his new persona."
123,20,"""Room for Ruby""",Kat Morris (supervising)Ricky Cometa (art),Raven M. Molisee and Jesse Zuke,"March 10, 2017",1040-125,0.95[124]
"""Navy"", one of the Rubies who came to Earth to find Jasper, crashes on Earth and is welcomed in by Steven to be a Crystal Gem. However, Lapis Lazuli does not trust Navy's overly optimistic nature, knowing of Navy's previous encounters with the Crystal Gems.","""Navy"", one of the Rubies who came to Earth to find Jasper, crashes on Earth and is welcomed in by Steven to be a Crystal Gem. However, Lapis Lazuli does not trust Navy's overly optimistic nature, knowing of Navy's previous encounters with the Crystal Gems.","""Navy"", one of the Rubies who came to Earth to find Jasper, crashes on Earth and is welcomed in by Steven to be a Crystal Gem. However, Lapis Lazuli does not trust Navy's overly optimistic nature, knowing of Navy's previous encounters with the Crystal Gems.","""Navy"", one of the Rubies who came to Earth to find Jasper, crashes on Earth and is welcomed in by Steven to be a Crystal Gem. However, Lapis Lazuli does not trust Navy's overly optimistic nature, knowing of Navy's previous encounters with the Crystal Gems.","""Navy"", one of the Rubies who came to Earth to find Jasper, crashes on Earth and is welcomed in by Steven to be a Crystal Gem. However, Lapis Lazuli does not trust Navy's overly optimistic nature, knowing of Navy's previous encounters with the Crystal Gems.","""Navy"", one of the Rubies who came to Earth to find Jasper, crashes on Earth and is welcomed in by Steven to be a Crystal Gem. However, Lapis Lazuli does not trust Navy's overly optimistic nature, knowing of Navy's previous encounters with the Crystal Gems.","""Navy"", one of the Rubies who came to Earth to find Jasper, crashes on Earth and is welcomed in by Steven to be a Crystal Gem. However, Lapis Lazuli does not trust Navy's overly optimistic nature, knowing of Navy's previous encounters with the Crystal Gems.","""Navy"", one of the Rubies who came to Earth to find Jasper, crashes on Earth and is welcomed in by Steven to be a Crystal Gem. However, Lapis Lazuli does not trust Navy's overly optimistic nature, knowing of Navy's previous encounters with the Crystal Gems."
124,21,"""Lion 4: Alternate Ending""",Kat Morris (supervising)Elle Michalka (art),Hilary Florido and Paul Villeco,"May 8, 2017[nb 14]",1040-126,1.01[125]
"Steven tries to search for secret messages Rose may have left him about his ""magical destiny"". Lion eventually leads him to a tape—but it's just an alternate version of the message from Rose he's already seen.","Steven tries to search for secret messages Rose may have left him about his ""magical destiny"". Lion eventually leads him to a tape—but it's just an alternate version of the message from Rose he's already seen.","Steven tries to search for secret messages Rose may have left him about his ""magical destiny"". Lion eventually leads him to a tape—but it's just an alternate version of the message from Rose he's already seen.","Steven tries to search for secret messages Rose may have left him about his ""magical destiny"". Lion eventually leads him to a tape—but it's just an alternate version of the message from Rose he's already seen.","Steven tries to search for secret messages Rose may have left him about his ""magical destiny"". Lion eventually leads him to a tape—but it's just an alternate version of the message from Rose he's already seen.","Steven tries to search for secret messages Rose may have left him about his ""magical destiny"". Lion eventually leads him to a tape—but it's just an alternate version of the message from Rose he's already seen.","Steven tries to search for secret messages Rose may have left him about his ""magical destiny"". Lion eventually leads him to a tape—but it's just an alternate version of the message from Rose he's already seen.","Steven tries to search for secret messages Rose may have left him about his ""magical destiny"". Lion eventually leads him to a tape—but it's just an alternate version of the message from Rose he's already seen."
125,22,"""Doug Out""",Joe Johnston (supervising)Elle Michalka (art),Lamar Abrams and Katie Mitroff,"May 9, 2017[nb 14]",1040-127,0.96[126]
"Connie's father, Doug, investigates a break-in at Funland. He invites Steven and Connie to join him to stake out the amusement park.","Connie's father, Doug, investigates a break-in at Funland. He invites Steven and Connie to join him to stake out the amusement park.","Connie's father, Doug, investigates a break-in at Funland. He invites Steven and Connie to join him to stake out the amusement park.","Connie's father, Doug, investigates a break-in at Funland. He invites Steven and Connie to join him to stake out the amusement park.","Connie's father, Doug, investigates a break-in at Funland. He invites Steven and Connie to join him to stake out the amusement park.","Connie's father, Doug, investigates a break-in at Funland. He invites Steven and Connie to join him to stake out the amusement park.","Connie's father, Doug, investigates a break-in at Funland. He invites Steven and Connie to join him to stake out the amusement park.","Connie's father, Doug, investigates a break-in at Funland. He invites Steven and Connie to join him to stake out the amusement park."
126,23,"""The Good Lars""",Joe Johnston (supervising)Elle Michalka (art),Colin Howard and Jeff Liu,"May 10, 2017[nb 14]",1040-128,0.95[127]
