No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date,U.S. viewers(millions)
134,6,"""Gemcation""",Kat Morris (supervising)Liz Artinian (art),Madeline Queripel and Jesse Zuke,"December 15, 2017[nb 16]",0.85[130]
"As Steven remains depressed over Connie's silence, Greg and the Gems misinterpret his sadness and take him to a ranch house for a vacation to cheer him up. The vacation just puts Steven more on edge, until he eventually tells Greg what it is he's upset about.","As Steven remains depressed over Connie's silence, Greg and the Gems misinterpret his sadness and take him to a ranch house for a vacation to cheer him up. The vacation just puts Steven more on edge, until he eventually tells Greg what it is he's upset about.","As Steven remains depressed over Connie's silence, Greg and the Gems misinterpret his sadness and take him to a ranch house for a vacation to cheer him up. The vacation just puts Steven more on edge, until he eventually tells Greg what it is he's upset about.","As Steven remains depressed over Connie's silence, Greg and the Gems misinterpret his sadness and take him to a ranch house for a vacation to cheer him up. The vacation just puts Steven more on edge, until he eventually tells Greg what it is he's upset about.","As Steven remains depressed over Connie's silence, Greg and the Gems misinterpret his sadness and take him to a ranch house for a vacation to cheer him up. The vacation just puts Steven more on edge, until he eventually tells Greg what it is he's upset about.","As Steven remains depressed over Connie's silence, Greg and the Gems misinterpret his sadness and take him to a ranch house for a vacation to cheer him up. The vacation just puts Steven more on edge, until he eventually tells Greg what it is he's upset about.","As Steven remains depressed over Connie's silence, Greg and the Gems misinterpret his sadness and take him to a ranch house for a vacation to cheer him up. The vacation just puts Steven more on edge, until he eventually tells Greg what it is he's upset about."
135,7,"""Raising the Barn""",Kat Morris (supervising)Liz Artinian (art),Amber Cragg and Hilary Florido,"December 22, 2017[nb 16]",0.89[131]
"When Lapis and Peridot learn what happened to Steven on Homeworld, Lapis wants to flee Earth to avoid getting caught up in another Gem war. However, Peridot wants to stay on Earth to protect it and has a hard time trying to tell Lapis how she feels.","When Lapis and Peridot learn what happened to Steven on Homeworld, Lapis wants to flee Earth to avoid getting caught up in another Gem war. However, Peridot wants to stay on Earth to protect it and has a hard time trying to tell Lapis how she feels.","When Lapis and Peridot learn what happened to Steven on Homeworld, Lapis wants to flee Earth to avoid getting caught up in another Gem war. However, Peridot wants to stay on Earth to protect it and has a hard time trying to tell Lapis how she feels.","When Lapis and Peridot learn what happened to Steven on Homeworld, Lapis wants to flee Earth to avoid getting caught up in another Gem war. However, Peridot wants to stay on Earth to protect it and has a hard time trying to tell Lapis how she feels.","When Lapis and Peridot learn what happened to Steven on Homeworld, Lapis wants to flee Earth to avoid getting caught up in another Gem war. However, Peridot wants to stay on Earth to protect it and has a hard time trying to tell Lapis how she feels.","When Lapis and Peridot learn what happened to Steven on Homeworld, Lapis wants to flee Earth to avoid getting caught up in another Gem war. However, Peridot wants to stay on Earth to protect it and has a hard time trying to tell Lapis how she feels.","When Lapis and Peridot learn what happened to Steven on Homeworld, Lapis wants to flee Earth to avoid getting caught up in another Gem war. However, Peridot wants to stay on Earth to protect it and has a hard time trying to tell Lapis how she feels."
136,8,"""Back to the Kindergarten""",Joe Johnston (supervising)Liz Artinian (art),Katie Mitroff and Paul Villeco,"December 22, 2017[nb 16]",0.89[131]
"With Peridot upset over Lapis leaving Earth, Steven and Amethyst decide to help her cheer up by attempting to plant flowers at the utterly barren Kindergarten.","With Peridot upset over Lapis leaving Earth, Steven and Amethyst decide to help her cheer up by attempting to plant flowers at the utterly barren Kindergarten.","With Peridot upset over Lapis leaving Earth, Steven and Amethyst decide to help her cheer up by attempting to plant flowers at the utterly barren Kindergarten.","With Peridot upset over Lapis leaving Earth, Steven and Amethyst decide to help her cheer up by attempting to plant flowers at the utterly barren Kindergarten.","With Peridot upset over Lapis leaving Earth, Steven and Amethyst decide to help her cheer up by attempting to plant flowers at the utterly barren Kindergarten.","With Peridot upset over Lapis leaving Earth, Steven and Amethyst decide to help her cheer up by attempting to plant flowers at the utterly barren Kindergarten.","With Peridot upset over Lapis leaving Earth, Steven and Amethyst decide to help her cheer up by attempting to plant flowers at the utterly barren Kindergarten."
137,9,"""Sadie Killer""",Joe Johnston (supervising)Liz Artinian (art),Lamar Abrams and Jeff Liu,"December 29, 2017[nb 16]",0.77[132]
"Steven and the Cool Kids start a band, but they have trouble finding their sound. They decide to recruit Sadie, who writes a dark song about her frustrating job at the Big Donut; but that same job keeps her from actually participating in the band.","Steven and the Cool Kids start a band, but they have trouble finding their sound. They decide to recruit Sadie, who writes a dark song about her frustrating job at the Big Donut; but that same job keeps her from actually participating in the band.","Steven and the Cool Kids start a band, but they have trouble finding their sound. They decide to recruit Sadie, who writes a dark song about her frustrating job at the Big Donut; but that same job keeps her from actually participating in the band.","Steven and the Cool Kids start a band, but they have trouble finding their sound. They decide to recruit Sadie, who writes a dark song about her frustrating job at the Big Donut; but that same job keeps her from actually participating in the band.","Steven and the Cool Kids start a band, but they have trouble finding their sound. They decide to recruit Sadie, who writes a dark song about her frustrating job at the Big Donut; but that same job keeps her from actually participating in the band.","Steven and the Cool Kids start a band, but they have trouble finding their sound. They decide to recruit Sadie, who writes a dark song about her frustrating job at the Big Donut; but that same job keeps her from actually participating in the band.","Steven and the Cool Kids start a band, but they have trouble finding their sound. They decide to recruit Sadie, who writes a dark song about her frustrating job at the Big Donut; but that same job keeps her from actually participating in the band."
138,10,"""Kevin Party""",Kat Morris (supervising)Liz Artinian (art),Amber Cragg and Hilary Florido,"December 29, 2017[nb 16]",0.77[132]
"Kevin is throwing a party, and invites Steven only so he can show up as Stevonnie. Steven doesn't want to go at first, but changes his mind when Kevin reveals that Connie will be there. When they see each other, Kevin decides to help Steven get his ""ex"" back so they can fuse.","Kevin is throwing a party, and invites Steven only so he can show up as Stevonnie. Steven doesn't want to go at first, but changes his mind when Kevin reveals that Connie will be there. When they see each other, Kevin decides to help Steven get his ""ex"" back so they can fuse.","Kevin is throwing a party, and invites Steven only so he can show up as Stevonnie. Steven doesn't want to go at first, but changes his mind when Kevin reveals that Connie will be there. When they see each other, Kevin decides to help Steven get his ""ex"" back so they can fuse.","Kevin is throwing a party, and invites Steven only so he can show up as Stevonnie. Steven doesn't want to go at first, but changes his mind when Kevin reveals that Connie will be there. When they see each other, Kevin decides to help Steven get his ""ex"" back so they can fuse.","Kevin is throwing a party, and invites Steven only so he can show up as Stevonnie. Steven doesn't want to go at first, but changes his mind when Kevin reveals that Connie will be there. When they see each other, Kevin decides to help Steven get his ""ex"" back so they can fuse.","Kevin is throwing a party, and invites Steven only so he can show up as Stevonnie. Steven doesn't want to go at first, but changes his mind when Kevin reveals that Connie will be there. When they see each other, Kevin decides to help Steven get his ""ex"" back so they can fuse.","Kevin is throwing a party, and invites Steven only so he can show up as Stevonnie. Steven doesn't want to go at first, but changes his mind when Kevin reveals that Connie will be there. When they see each other, Kevin decides to help Steven get his ""ex"" back so they can fuse."
139,11,"""Lars of the Stars"" (Part 1)",Kat Morris (supervising)Liz Artinian (art),Lamar Abrams and Jesse Zuke,"January 5, 2018",1.11[133]
"Steven and Connie travel through Lion's mane to visit Lars. When they reach the other side, they discover that Lars and the Off-Color Gems have stolen a spaceship from Emerald and are now on the run from their pursuers.","Steven and Connie travel through Lion's mane to visit Lars. When they reach the other side, they discover that Lars and the Off-Color Gems have stolen a spaceship from Emerald and are now on the run from their pursuers.","Steven and Connie travel through Lion's mane to visit Lars. When they reach the other side, they discover that Lars and the Off-Color Gems have stolen a spaceship from Emerald and are now on the run from their pursuers.","Steven and Connie travel through Lion's mane to visit Lars. When they reach the other side, they discover that Lars and the Off-Color Gems have stolen a spaceship from Emerald and are now on the run from their pursuers.","Steven and Connie travel through Lion's mane to visit Lars. When they reach the other side, they discover that Lars and the Off-Color Gems have stolen a spaceship from Emerald and are now on the run from their pursuers.","Steven and Connie travel through Lion's mane to visit Lars. When they reach the other side, they discover that Lars and the Off-Color Gems have stolen a spaceship from Emerald and are now on the run from their pursuers.","Steven and Connie travel through Lion's mane to visit Lars. When they reach the other side, they discover that Lars and the Off-Color Gems have stolen a spaceship from Emerald and are now on the run from their pursuers."
140,12,"""Jungle Moon"" (Part 2)",Joe Johnston (supervising)Liz Artinian (art),Miki Brewster and Jeff Liu,"January 5, 2018",1.11[133]
"Stevonnie crash-lands in a jungle on an alien moon and, unable to contact Lars, must fend for themself. They discover that the moon houses an abandoned Gem base and orbits a former Gem colony, and have a strange dream involving Yellow Diamond and Pink Diamond.  Note: This episode was nominated for an Emmy Award for Outstanding Short-Form Animation. Background painter Patrick Bryson won an Emmy for Outstanding Individual Achievement In Animation for his work on this episode.","Stevonnie crash-lands in a jungle on an alien moon and, unable to contact Lars, must fend for themself. They discover that the moon houses an abandoned Gem base and orbits a former Gem colony, and have a strange dream involving Yellow Diamond and Pink Diamond.  Note: This episode was nominated for an Emmy Award for Outstanding Short-Form Animation. Background painter Patrick Bryson won an Emmy for Outstanding Individual Achievement In Animation for his work on this episode.","Stevonnie crash-lands in a jungle on an alien moon and, unable to contact Lars, must fend for themself. They discover that the moon houses an abandoned Gem base and orbits a former Gem colony, and have a strange dream involving Yellow Diamond and Pink Diamond.  Note: This episode was nominated for an Emmy Award for Outstanding Short-Form Animation. Background painter Patrick Bryson won an Emmy for Outstanding Individual Achievement In Animation for his work on this episode.","Stevonnie crash-lands in a jungle on an alien moon and, unable to contact Lars, must fend for themself. They discover that the moon houses an abandoned Gem base and orbits a former Gem colony, and have a strange dream involving Yellow Diamond and Pink Diamond.  Note: This episode was nominated for an Emmy Award for Outstanding Short-Form Animation. Background painter Patrick Bryson won an Emmy for Outstanding Individual Achievement In Animation for his work on this episode.","Stevonnie crash-lands in a jungle on an alien moon and, unable to contact Lars, must fend for themself. They discover that the moon houses an abandoned Gem base and orbits a former Gem colony, and have a strange dream involving Yellow Diamond and Pink Diamond.  Note: This episode was nominated for an Emmy Award for Outstanding Short-Form Animation. Background painter Patrick Bryson won an Emmy for Outstanding Individual Achievement In Animation for his work on this episode.","Stevonnie crash-lands in a jungle on an alien moon and, unable to contact Lars, must fend for themself. They discover that the moon houses an abandoned Gem base and orbits a former Gem colony, and have a strange dream involving Yellow Diamond and Pink Diamond.  Note: This episode was nominated for an Emmy Award for Outstanding Short-Form Animation. Background painter Patrick Bryson won an Emmy for Outstanding Individual Achievement In Animation for his work on this episode.","Stevonnie crash-lands in a jungle on an alien moon and, unable to contact Lars, must fend for themself. They discover that the moon houses an abandoned Gem base and orbits a former Gem colony, and have a strange dream involving Yellow Diamond and Pink Diamond.  Note: This episode was nominated for an Emmy Award for Outstanding Short-Form Animation. Background painter Patrick Bryson won an Emmy for Outstanding Individual Achievement In Animation for his work on this episode."
141,13,"""Your Mother and Mine""",Joe Johnston (supervising)Liz Artinian (art),Katie Mitroff and Paul Villeco,"April 9, 2018[nb 17]",0.77[134]
"Steven brings Garnet to meet Lars and his off-color crew. The Off-Colors' beliefs about Rose Quartz have been skewed by Homeworld propaganda, so Garnet tells them the history of Rose's rebellion from the Crystal Gems' perspective.","Steven brings Garnet to meet Lars and his off-color crew. The Off-Colors' beliefs about Rose Quartz have been skewed by Homeworld propaganda, so Garnet tells them the history of Rose's rebellion from the Crystal Gems' perspective.","Steven brings Garnet to meet Lars and his off-color crew. The Off-Colors' beliefs about Rose Quartz have been skewed by Homeworld propaganda, so Garnet tells them the history of Rose's rebellion from the Crystal Gems' perspective.","Steven brings Garnet to meet Lars and his off-color crew. The Off-Colors' beliefs about Rose Quartz have been skewed by Homeworld propaganda, so Garnet tells them the history of Rose's rebellion from the Crystal Gems' perspective.","Steven brings Garnet to meet Lars and his off-color crew. The Off-Colors' beliefs about Rose Quartz have been skewed by Homeworld propaganda, so Garnet tells them the history of Rose's rebellion from the Crystal Gems' perspective.","Steven brings Garnet to meet Lars and his off-color crew. The Off-Colors' beliefs about Rose Quartz have been skewed by Homeworld propaganda, so Garnet tells them the history of Rose's rebellion from the Crystal Gems' perspective.","Steven brings Garnet to meet Lars and his off-color crew. The Off-Colors' beliefs about Rose Quartz have been skewed by Homeworld propaganda, so Garnet tells them the history of Rose's rebellion from the Crystal Gems' perspective."
142,14,"""The Big Show""",Kat Morris (supervising)Liz Artinian (art),Hilary Florido and Amber Cragg,"April 16, 2018[nb 17]",0.56[135]
"In this documentary-style episode, Steven records the rise of Sadie's new band, Sadie Killer and the Suspects. The band hires Greg as their manager, who hooks them up with producer Sunshine Justice for a performance in Empire City, though Sadie worries about her mother getting in the way.","In this documentary-style episode, Steven records the rise of Sadie's new band, Sadie Killer and the Suspects. The band hires Greg as their manager, who hooks them up with producer Sunshine Justice for a performance in Empire City, though Sadie worries about her mother getting in the way.","In this documentary-style episode, Steven records the rise of Sadie's new band, Sadie Killer and the Suspects. The band hires Greg as their manager, who hooks them up with producer Sunshine Justice for a performance in Empire City, though Sadie worries about her mother getting in the way.","In this documentary-style episode, Steven records the rise of Sadie's new band, Sadie Killer and the Suspects. The band hires Greg as their manager, who hooks them up with producer Sunshine Justice for a performance in Empire City, though Sadie worries about her mother getting in the way.","In this documentary-style episode, Steven records the rise of Sadie's new band, Sadie Killer and the Suspects. The band hires Greg as their manager, who hooks them up with producer Sunshine Justice for a performance in Empire City, though Sadie worries about her mother getting in the way.","In this documentary-style episode, Steven records the rise of Sadie's new band, Sadie Killer and the Suspects. The band hires Greg as their manager, who hooks them up with producer Sunshine Justice for a performance in Empire City, though Sadie worries about her mother getting in the way."
143,15,"""Pool Hopping""",Joe Johnston (supervising)Liz Artinian (art),"Katie Mitroff, Paul Villeco, and Joe Johnston","April 23, 2018[nb 17]",0.54[136]
"Garnet spends a day trying to behave unpredictably, attempting to train her future vision to account for the unexpected. When she and Steven eventually discover some homeless kittens, Garnet admits how lost and stressed she feels when she doesn't know what the future holds.","Garnet spends a day trying to behave unpredictably, attempting to train her future vision to account for the unexpected. When she and Steven eventually discover some homeless kittens, Garnet admits how lost and stressed she feels when she doesn't know what the future holds.","Garnet spends a day trying to behave unpredictably, attempting to train her future vision to account for the unexpected. When she and Steven eventually discover some homeless kittens, Garnet admits how lost and stressed she feels when she doesn't know what the future holds.","Garnet spends a day trying to behave unpredictably, attempting to train her future vision to account for the unexpected. When she and Steven eventually discover some homeless kittens, Garnet admits how lost and stressed she feels when she doesn't know what the future holds.","Garnet spends a day trying to behave unpredictably, attempting to train her future vision to account for the unexpected. When she and Steven eventually discover some homeless kittens, Garnet admits how lost and stressed she feels when she doesn't know what the future holds.","Garnet spends a day trying to behave unpredictably, attempting to train her future vision to account for the unexpected. When she and Steven eventually discover some homeless kittens, Garnet admits how lost and stressed she feels when she doesn't know what the future holds.","Garnet spends a day trying to behave unpredictably, attempting to train her future vision to account for the unexpected. When she and Steven eventually discover some homeless kittens, Garnet admits how lost and stressed she feels when she doesn't know what the future holds."
144,16,"""Letters to Lars""",Kat Morris (supervising)Liz Artinian (art),Lamar Abrams and Colin Howard,"April 30, 2018[nb 17]",0.40[137]
"Lars receives a letter from Steven updating him about the current goings-on in Beach City. While the town and its population are changing, the now-former mayor Bill Dewey is having trouble trying to find his place in the new status quo.","Lars receives a letter from Steven updating him about the current goings-on in Beach City. While the town and its population are changing, the now-former mayor Bill Dewey is having trouble trying to find his place in the new status quo.","Lars receives a letter from Steven updating him about the current goings-on in Beach City. While the town and its population are changing, the now-former mayor Bill Dewey is having trouble trying to find his place in the new status quo.","Lars receives a letter from Steven updating him about the current goings-on in Beach City. While the town and its population are changing, the now-former mayor Bill Dewey is having trouble trying to find his place in the new status quo.","Lars receives a letter from Steven updating him about the current goings-on in Beach City. While the town and its population are changing, the now-former mayor Bill Dewey is having trouble trying to find his place in the new status quo.","Lars receives a letter from Steven updating him about the current goings-on in Beach City. While the town and its population are changing, the now-former mayor Bill Dewey is having trouble trying to find his place in the new status quo.","Lars receives a letter from Steven updating him about the current goings-on in Beach City. While the town and its population are changing, the now-former mayor Bill Dewey is having trouble trying to find his place in the new status quo."
145,17,"""Can't Go Back"" (Part 1)",Joe Johnston (supervising)Liz Artinian (art),Miki Brewster and Jeff Liu,"May 7, 2018",0.74[138]
"After Ronaldo sees Lapis's barn on the moon, Steven goes up there to try to persuade her to return to Earth. He almost convinces her, but ends up scaring her away after experiencing another dream about Pink Diamond.","After Ronaldo sees Lapis's barn on the moon, Steven goes up there to try to persuade her to return to Earth. He almost convinces her, but ends up scaring her away after experiencing another dream about Pink Diamond.","After Ronaldo sees Lapis's barn on the moon, Steven goes up there to try to persuade her to return to Earth. He almost convinces her, but ends up scaring her away after experiencing another dream about Pink Diamond.","After Ronaldo sees Lapis's barn on the moon, Steven goes up there to try to persuade her to return to Earth. He almost convinces her, but ends up scaring her away after experiencing another dream about Pink Diamond.","After Ronaldo sees Lapis's barn on the moon, Steven goes up there to try to persuade her to return to Earth. He almost convinces her, but ends up scaring her away after experiencing another dream about Pink Diamond.","After Ronaldo sees Lapis's barn on the moon, Steven goes up there to try to persuade her to return to Earth. He almost convinces her, but ends up scaring her away after experiencing another dream about Pink Diamond.","After Ronaldo sees Lapis's barn on the moon, Steven goes up there to try to persuade her to return to Earth. He almost convinces her, but ends up scaring her away after experiencing another dream about Pink Diamond."
146,18,"""A Single Pale Rose"" (Part 2)",Kat Morris (supervising)Liz Artinian (art),Amber Cragg and Hilary Florido,"May 7, 2018",0.74[138]
"Steven confronts Pearl about the shattering of Pink Diamond, but she can't answer his questions. But when Pearl asks him to venture inside her gem to retrieve her cell phone, Steven discovers the secret that Pearl swore to keep long ago.","Steven confronts Pearl about the shattering of Pink Diamond, but she can't answer his questions. But when Pearl asks him to venture inside her gem to retrieve her cell phone, Steven discovers the secret that Pearl swore to keep long ago.","Steven confronts Pearl about the shattering of Pink Diamond, but she can't answer his questions. But when Pearl asks him to venture inside her gem to retrieve her cell phone, Steven discovers the secret that Pearl swore to keep long ago.","Steven confronts Pearl about the shattering of Pink Diamond, but she can't answer his questions. But when Pearl asks him to venture inside her gem to retrieve her cell phone, Steven discovers the secret that Pearl swore to keep long ago.","Steven confronts Pearl about the shattering of Pink Diamond, but she can't answer his questions. But when Pearl asks him to venture inside her gem to retrieve her cell phone, Steven discovers the secret that Pearl swore to keep long ago.","Steven confronts Pearl about the shattering of Pink Diamond, but she can't answer his questions. But when Pearl asks him to venture inside her gem to retrieve her cell phone, Steven discovers the secret that Pearl swore to keep long ago.","Steven confronts Pearl about the shattering of Pink Diamond, but she can't answer his questions. But when Pearl asks him to venture inside her gem to retrieve her cell phone, Steven discovers the secret that Pearl swore to keep long ago."
147,19,"""Now We're Only Falling Apart""",Kat Morris (supervising)Liz Artinian (art),Lamar Abrams and Christine Liu,"July 2, 2018",0.84[139]
"After finding out that Rose Quartz was actually Pink Diamond, Garnet unfuses and Sapphire runs off, devastated. To try and calm her down, Steven and Pearl go after her and tell her the story of how Pink Diamond became Rose Quartz.","After finding out that Rose Quartz was actually Pink Diamond, Garnet unfuses and Sapphire runs off, devastated. To try and calm her down, Steven and Pearl go after her and tell her the story of how Pink Diamond became Rose Quartz.","After finding out that Rose Quartz was actually Pink Diamond, Garnet unfuses and Sapphire runs off, devastated. To try and calm her down, Steven and Pearl go after her and tell her the story of how Pink Diamond became Rose Quartz.","After finding out that Rose Quartz was actually Pink Diamond, Garnet unfuses and Sapphire runs off, devastated. To try and calm her down, Steven and Pearl go after her and tell her the story of how Pink Diamond became Rose Quartz.","After finding out that Rose Quartz was actually Pink Diamond, Garnet unfuses and Sapphire runs off, devastated. To try and calm her down, Steven and Pearl go after her and tell her the story of how Pink Diamond became Rose Quartz.","After finding out that Rose Quartz was actually Pink Diamond, Garnet unfuses and Sapphire runs off, devastated. To try and calm her down, Steven and Pearl go after her and tell her the story of how Pink Diamond became Rose Quartz.","After finding out that Rose Quartz was actually Pink Diamond, Garnet unfuses and Sapphire runs off, devastated. To try and calm her down, Steven and Pearl go after her and tell her the story of how Pink Diamond became Rose Quartz."
148,20,"""What's Your Problem""",Joe Johnston (supervising)Liz Artinian (art),Katie Mitroff and Paul Villeco,"July 3, 2018",0.93[140]
"With Ruby missing, Steven and Amethyst go looking for her. Steven takes the search seriously while Amethyst goofs off, but her reasons behind it soon become clear.","With Ruby missing, Steven and Amethyst go looking for her. Steven takes the search seriously while Amethyst goofs off, but her reasons behind it soon become clear.","With Ruby missing, Steven and Amethyst go looking for her. Steven takes the search seriously while Amethyst goofs off, but her reasons behind it soon become clear.","With Ruby missing, Steven and Amethyst go looking for her. Steven takes the search seriously while Amethyst goofs off, but her reasons behind it soon become clear.","With Ruby missing, Steven and Amethyst go looking for her. Steven takes the search seriously while Amethyst goofs off, but her reasons behind it soon become clear.","With Ruby missing, Steven and Amethyst go looking for her. Steven takes the search seriously while Amethyst goofs off, but her reasons behind it soon become clear.","With Ruby missing, Steven and Amethyst go looking for her. Steven takes the search seriously while Amethyst goofs off, but her reasons behind it soon become clear."
149,21,"""The Question""",Joe Johnston (supervising)Liz Artinian (art),Miki Brewster and Jeff Liu,"July 4, 2018",0.71[141]
