No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date,Prod.code [84],U.S. viewers(millions)
"Steven, Amethyst and Peridot visit Funland for the day, but Peridot becomes resentful when using shapeshifting powers she doesn't have seems to be the only way to have fun.","Steven, Amethyst and Peridot visit Funland for the day, but Peridot becomes resentful when using shapeshifting powers she doesn't have seems to be the only way to have fun.","Steven, Amethyst and Peridot visit Funland for the day, but Peridot becomes resentful when using shapeshifting powers she doesn't have seems to be the only way to have fun.","Steven, Amethyst and Peridot visit Funland for the day, but Peridot becomes resentful when using shapeshifting powers she doesn't have seems to be the only way to have fun.","Steven, Amethyst and Peridot visit Funland for the day, but Peridot becomes resentful when using shapeshifting powers she doesn't have seems to be the only way to have fun.","Steven, Amethyst and Peridot visit Funland for the day, but Peridot becomes resentful when using shapeshifting powers she doesn't have seems to be the only way to have fun.","Steven, Amethyst and Peridot visit Funland for the day, but Peridot becomes resentful when using shapeshifting powers she doesn't have seems to be the only way to have fun.","Steven, Amethyst and Peridot visit Funland for the day, but Peridot becomes resentful when using shapeshifting powers she doesn't have seems to be the only way to have fun."
88,10,"""The New Lars""",Kat Morris (supervising)Jasmin Lai (art),Raven M. Molisee and Paul Villeco,"July 21, 2016",1031-089,1.53[92]
Steven attempts to improve Lars' life when he accidentally ends up in Lars's body due to his astral projection ability.,Steven attempts to improve Lars' life when he accidentally ends up in Lars's body due to his astral projection ability.,Steven attempts to improve Lars' life when he accidentally ends up in Lars's body due to his astral projection ability.,Steven attempts to improve Lars' life when he accidentally ends up in Lars's body due to his astral projection ability.,Steven attempts to improve Lars' life when he accidentally ends up in Lars's body due to his astral projection ability.,Steven attempts to improve Lars' life when he accidentally ends up in Lars's body due to his astral projection ability.,Steven attempts to improve Lars' life when he accidentally ends up in Lars's body due to his astral projection ability.,Steven attempts to improve Lars' life when he accidentally ends up in Lars's body due to his astral projection ability.
89,11,"""Beach City Drift""",Kat Morris (supervising)Jasmin Lai (art),Hilary Florido and Jesse Zuke,"July 22, 2016",1031-090,1.29[93]
"When Steven and Connie run into Kevin, an obnoxious teenager who had harassed Stevonnie in an earlier episode, they fuse again to try to humiliate him by beating him in a car race.","When Steven and Connie run into Kevin, an obnoxious teenager who had harassed Stevonnie in an earlier episode, they fuse again to try to humiliate him by beating him in a car race.","When Steven and Connie run into Kevin, an obnoxious teenager who had harassed Stevonnie in an earlier episode, they fuse again to try to humiliate him by beating him in a car race.","When Steven and Connie run into Kevin, an obnoxious teenager who had harassed Stevonnie in an earlier episode, they fuse again to try to humiliate him by beating him in a car race.","When Steven and Connie run into Kevin, an obnoxious teenager who had harassed Stevonnie in an earlier episode, they fuse again to try to humiliate him by beating him in a car race.","When Steven and Connie run into Kevin, an obnoxious teenager who had harassed Stevonnie in an earlier episode, they fuse again to try to humiliate him by beating him in a car race.","When Steven and Connie run into Kevin, an obnoxious teenager who had harassed Stevonnie in an earlier episode, they fuse again to try to humiliate him by beating him in a car race.","When Steven and Connie run into Kevin, an obnoxious teenager who had harassed Stevonnie in an earlier episode, they fuse again to try to humiliate him by beating him in a car race."
90,12,"""Restaurant Wars""",Joe Johnston (supervising)Jasmin Lai (art),Lamar Abrams and Katie Mitroff,"July 25, 2016",1031-091,1.51[94]
"When Steven accidentally re-ignites an old feud between restaurant owners Mr. Fryman and Kofi Pizza, it is up to Steven and the restaurant owners' children to try to stop the feud.","When Steven accidentally re-ignites an old feud between restaurant owners Mr. Fryman and Kofi Pizza, it is up to Steven and the restaurant owners' children to try to stop the feud.","When Steven accidentally re-ignites an old feud between restaurant owners Mr. Fryman and Kofi Pizza, it is up to Steven and the restaurant owners' children to try to stop the feud.","When Steven accidentally re-ignites an old feud between restaurant owners Mr. Fryman and Kofi Pizza, it is up to Steven and the restaurant owners' children to try to stop the feud.","When Steven accidentally re-ignites an old feud between restaurant owners Mr. Fryman and Kofi Pizza, it is up to Steven and the restaurant owners' children to try to stop the feud.","When Steven accidentally re-ignites an old feud between restaurant owners Mr. Fryman and Kofi Pizza, it is up to Steven and the restaurant owners' children to try to stop the feud.","When Steven accidentally re-ignites an old feud between restaurant owners Mr. Fryman and Kofi Pizza, it is up to Steven and the restaurant owners' children to try to stop the feud.","When Steven accidentally re-ignites an old feud between restaurant owners Mr. Fryman and Kofi Pizza, it is up to Steven and the restaurant owners' children to try to stop the feud."
91,13,"""Kiki's Pizza Delivery Service""",Joe Johnston (supervising)Jasmin Lai (art),Colin Howard and Jeff Liu,"July 26, 2016",1031-092,1.31[95]
"Kiki has been having nightmares due to being overworked at Fish Stew Pizza when her sister skips work, so Steven helps by using his astral projection to go into Kiki's dreams.","Kiki has been having nightmares due to being overworked at Fish Stew Pizza when her sister skips work, so Steven helps by using his astral projection to go into Kiki's dreams.","Kiki has been having nightmares due to being overworked at Fish Stew Pizza when her sister skips work, so Steven helps by using his astral projection to go into Kiki's dreams.","Kiki has been having nightmares due to being overworked at Fish Stew Pizza when her sister skips work, so Steven helps by using his astral projection to go into Kiki's dreams.","Kiki has been having nightmares due to being overworked at Fish Stew Pizza when her sister skips work, so Steven helps by using his astral projection to go into Kiki's dreams.","Kiki has been having nightmares due to being overworked at Fish Stew Pizza when her sister skips work, so Steven helps by using his astral projection to go into Kiki's dreams.","Kiki has been having nightmares due to being overworked at Fish Stew Pizza when her sister skips work, so Steven helps by using his astral projection to go into Kiki's dreams.","Kiki has been having nightmares due to being overworked at Fish Stew Pizza when her sister skips work, so Steven helps by using his astral projection to go into Kiki's dreams."
92,14,"""Monster Reunion""",Kat Morris (supervising)Jasmin Lai (art),Raven M. Molisee and Paul Villeco,"July 27, 2016",1031-093,1.38[96]
"When Steven's healing powers suddenly return, he re-releases the Centipeetle and attempts to heal her. He can't fully cure her corruption, but he learns from her about her history as a Homeworld officer abandoned on Earth at the end of the war.","When Steven's healing powers suddenly return, he re-releases the Centipeetle and attempts to heal her. He can't fully cure her corruption, but he learns from her about her history as a Homeworld officer abandoned on Earth at the end of the war.","When Steven's healing powers suddenly return, he re-releases the Centipeetle and attempts to heal her. He can't fully cure her corruption, but he learns from her about her history as a Homeworld officer abandoned on Earth at the end of the war.","When Steven's healing powers suddenly return, he re-releases the Centipeetle and attempts to heal her. He can't fully cure her corruption, but he learns from her about her history as a Homeworld officer abandoned on Earth at the end of the war.","When Steven's healing powers suddenly return, he re-releases the Centipeetle and attempts to heal her. He can't fully cure her corruption, but he learns from her about her history as a Homeworld officer abandoned on Earth at the end of the war.","When Steven's healing powers suddenly return, he re-releases the Centipeetle and attempts to heal her. He can't fully cure her corruption, but he learns from her about her history as a Homeworld officer abandoned on Earth at the end of the war.","When Steven's healing powers suddenly return, he re-releases the Centipeetle and attempts to heal her. He can't fully cure her corruption, but he learns from her about her history as a Homeworld officer abandoned on Earth at the end of the war.","When Steven's healing powers suddenly return, he re-releases the Centipeetle and attempts to heal her. He can't fully cure her corruption, but he learns from her about her history as a Homeworld officer abandoned on Earth at the end of the war."
93,15,"""Alone at Sea""",Kat Morris (supervising)Jasmin Lai (art),"Hilary Florido, Kat Morris, and Rebecca Sugar","July 28, 2016",1031-094,1.32[97]
"Steven and Greg take Lapis Lazuli on a boat ride to help her recover from her trauma. However, Jasper follows them and confronts Lapis, seeking to fuse into Malachite again.","Steven and Greg take Lapis Lazuli on a boat ride to help her recover from her trauma. However, Jasper follows them and confronts Lapis, seeking to fuse into Malachite again.","Steven and Greg take Lapis Lazuli on a boat ride to help her recover from her trauma. However, Jasper follows them and confronts Lapis, seeking to fuse into Malachite again.","Steven and Greg take Lapis Lazuli on a boat ride to help her recover from her trauma. However, Jasper follows them and confronts Lapis, seeking to fuse into Malachite again.","Steven and Greg take Lapis Lazuli on a boat ride to help her recover from her trauma. However, Jasper follows them and confronts Lapis, seeking to fuse into Malachite again.","Steven and Greg take Lapis Lazuli on a boat ride to help her recover from her trauma. However, Jasper follows them and confronts Lapis, seeking to fuse into Malachite again.","Steven and Greg take Lapis Lazuli on a boat ride to help her recover from her trauma. However, Jasper follows them and confronts Lapis, seeking to fuse into Malachite again.","Steven and Greg take Lapis Lazuli on a boat ride to help her recover from her trauma. However, Jasper follows them and confronts Lapis, seeking to fuse into Malachite again."
94,16,"""Greg the Babysitter""",Joe Johnston (supervising)Jasmin Lai (art),Lamar Abrams and Katie Mitroff,"July 29, 2016",1031-095,1.31[98]
"When Steven asks Greg how he started working at the car wash, Greg tells Steven about a day he and Rose spent babysitting Sour Cream for Vidalia.","When Steven asks Greg how he started working at the car wash, Greg tells Steven about a day he and Rose spent babysitting Sour Cream for Vidalia.","When Steven asks Greg how he started working at the car wash, Greg tells Steven about a day he and Rose spent babysitting Sour Cream for Vidalia.","When Steven asks Greg how he started working at the car wash, Greg tells Steven about a day he and Rose spent babysitting Sour Cream for Vidalia.","When Steven asks Greg how he started working at the car wash, Greg tells Steven about a day he and Rose spent babysitting Sour Cream for Vidalia.","When Steven asks Greg how he started working at the car wash, Greg tells Steven about a day he and Rose spent babysitting Sour Cream for Vidalia.","When Steven asks Greg how he started working at the car wash, Greg tells Steven about a day he and Rose spent babysitting Sour Cream for Vidalia.","When Steven asks Greg how he started working at the car wash, Greg tells Steven about a day he and Rose spent babysitting Sour Cream for Vidalia."
95,17,"""Gem Hunt""",Joe Johnston (supervising)Jasmin Lai (art),Colin Howard and Jeff Liu,"August 1, 2016",1031-096,1.64[99]
"Connie goes on her first mission with Steven and Pearl to find a corrupted Gem monster in the Great North, only to find two monsters being targeted by Jasper.","Connie goes on her first mission with Steven and Pearl to find a corrupted Gem monster in the Great North, only to find two monsters being targeted by Jasper.","Connie goes on her first mission with Steven and Pearl to find a corrupted Gem monster in the Great North, only to find two monsters being targeted by Jasper.","Connie goes on her first mission with Steven and Pearl to find a corrupted Gem monster in the Great North, only to find two monsters being targeted by Jasper.","Connie goes on her first mission with Steven and Pearl to find a corrupted Gem monster in the Great North, only to find two monsters being targeted by Jasper.","Connie goes on her first mission with Steven and Pearl to find a corrupted Gem monster in the Great North, only to find two monsters being targeted by Jasper.","Connie goes on her first mission with Steven and Pearl to find a corrupted Gem monster in the Great North, only to find two monsters being targeted by Jasper.","Connie goes on her first mission with Steven and Pearl to find a corrupted Gem monster in the Great North, only to find two monsters being targeted by Jasper."
96,18,"""Crack the Whip""",Kat Morris (supervising)Jasmin Lai (art),Raven M. Molisee and Paul Villeco,"August 2, 2016",1031-097,1.90[100]
"When Garnet and Pearl return to the Great North to look for Jasper, Amethyst is put in charge of Steven and Connie. They continue their battle training together and try to have a fun day in Beach City, but are interrupted by the reappearance of Jasper.","When Garnet and Pearl return to the Great North to look for Jasper, Amethyst is put in charge of Steven and Connie. They continue their battle training together and try to have a fun day in Beach City, but are interrupted by the reappearance of Jasper.","When Garnet and Pearl return to the Great North to look for Jasper, Amethyst is put in charge of Steven and Connie. They continue their battle training together and try to have a fun day in Beach City, but are interrupted by the reappearance of Jasper.","When Garnet and Pearl return to the Great North to look for Jasper, Amethyst is put in charge of Steven and Connie. They continue their battle training together and try to have a fun day in Beach City, but are interrupted by the reappearance of Jasper.","When Garnet and Pearl return to the Great North to look for Jasper, Amethyst is put in charge of Steven and Connie. They continue their battle training together and try to have a fun day in Beach City, but are interrupted by the reappearance of Jasper.","When Garnet and Pearl return to the Great North to look for Jasper, Amethyst is put in charge of Steven and Connie. They continue their battle training together and try to have a fun day in Beach City, but are interrupted by the reappearance of Jasper.","When Garnet and Pearl return to the Great North to look for Jasper, Amethyst is put in charge of Steven and Connie. They continue their battle training together and try to have a fun day in Beach City, but are interrupted by the reappearance of Jasper.","When Garnet and Pearl return to the Great North to look for Jasper, Amethyst is put in charge of Steven and Connie. They continue their battle training together and try to have a fun day in Beach City, but are interrupted by the reappearance of Jasper."
97,19,"""Steven vs. Amethyst""",Kat Morris (supervising)Jasmin Lai (art),Hilary Florido and Jesse Zuke,"August 3, 2016",1031-098,1.74[101]
"Following the events of the previous episode, Amethyst's self-esteem has hit rock bottom. With Steven's rising power, Amethyst begins to suspect that she is now the weakest Gem on the team. This leads Steven and Amethyst to engage in a duel to see who really is the weakest Gem.","Following the events of the previous episode, Amethyst's self-esteem has hit rock bottom. With Steven's rising power, Amethyst begins to suspect that she is now the weakest Gem on the team. This leads Steven and Amethyst to engage in a duel to see who really is the weakest Gem.","Following the events of the previous episode, Amethyst's self-esteem has hit rock bottom. With Steven's rising power, Amethyst begins to suspect that she is now the weakest Gem on the team. This leads Steven and Amethyst to engage in a duel to see who really is the weakest Gem.","Following the events of the previous episode, Amethyst's self-esteem has hit rock bottom. With Steven's rising power, Amethyst begins to suspect that she is now the weakest Gem on the team. This leads Steven and Amethyst to engage in a duel to see who really is the weakest Gem.","Following the events of the previous episode, Amethyst's self-esteem has hit rock bottom. With Steven's rising power, Amethyst begins to suspect that she is now the weakest Gem on the team. This leads Steven and Amethyst to engage in a duel to see who really is the weakest Gem.","Following the events of the previous episode, Amethyst's self-esteem has hit rock bottom. With Steven's rising power, Amethyst begins to suspect that she is now the weakest Gem on the team. This leads Steven and Amethyst to engage in a duel to see who really is the weakest Gem.","Following the events of the previous episode, Amethyst's self-esteem has hit rock bottom. With Steven's rising power, Amethyst begins to suspect that she is now the weakest Gem on the team. This leads Steven and Amethyst to engage in a duel to see who really is the weakest Gem.","Following the events of the previous episode, Amethyst's self-esteem has hit rock bottom. With Steven's rising power, Amethyst begins to suspect that she is now the weakest Gem on the team. This leads Steven and Amethyst to engage in a duel to see who really is the weakest Gem."
9899[nb 9],2021,"""Bismuth""",Joe Johnston (supervising)Jasmin Lai (art),"Lamar Abrams, Colin Howard, Jeff Liu, and Katie Mitroff","August 4, 2016",1031-0991031-100,2.15[102]
"Bismuth, one of the original Crystal Gems, is accidentally freed by Steven from a bubble inside Lion's mane. She is welcomed back with open arms by Pearl and Garnet, while Amethyst quickly warms up to her company. However, Steven soon notices that Bismuth's outlook on the rebellion is radically different from the other Gems' when she shows eagerness to re-ignite the Gem War with an unethical secret weapon.","Bismuth, one of the original Crystal Gems, is accidentally freed by Steven from a bubble inside Lion's mane. She is welcomed back with open arms by Pearl and Garnet, while Amethyst quickly warms up to her company. However, Steven soon notices that Bismuth's outlook on the rebellion is radically different from the other Gems' when she shows eagerness to re-ignite the Gem War with an unethical secret weapon.","Bismuth, one of the original Crystal Gems, is accidentally freed by Steven from a bubble inside Lion's mane. She is welcomed back with open arms by Pearl and Garnet, while Amethyst quickly warms up to her company. However, Steven soon notices that Bismuth's outlook on the rebellion is radically different from the other Gems' when she shows eagerness to re-ignite the Gem War with an unethical secret weapon.","Bismuth, one of the original Crystal Gems, is accidentally freed by Steven from a bubble inside Lion's mane. She is welcomed back with open arms by Pearl and Garnet, while Amethyst quickly warms up to her company. However, Steven soon notices that Bismuth's outlook on the rebellion is radically different from the other Gems' when she shows eagerness to re-ignite the Gem War with an unethical secret weapon.","Bismuth, one of the original Crystal Gems, is accidentally freed by Steven from a bubble inside Lion's mane. She is welcomed back with open arms by Pearl and Garnet, while Amethyst quickly warms up to her company. However, Steven soon notices that Bismuth's outlook on the rebellion is radically different from the other Gems' when she shows eagerness to re-ignite the Gem War with an unethical secret weapon.","Bismuth, one of the original Crystal Gems, is accidentally freed by Steven from a bubble inside Lion's mane. She is welcomed back with open arms by Pearl and Garnet, while Amethyst quickly warms up to her company. However, Steven soon notices that Bismuth's outlook on the rebellion is radically different from the other Gems' when she shows eagerness to re-ignite the Gem War with an unethical secret weapon.","Bismuth, one of the original Crystal Gems, is accidentally freed by Steven from a bubble inside Lion's mane. She is welcomed back with open arms by Pearl and Garnet, while Amethyst quickly warms up to her company. However, Steven soon notices that Bismuth's outlook on the rebellion is radically different from the other Gems' when she shows eagerness to re-ignite the Gem War with an unethical secret weapon.","Bismuth, one of the original Crystal Gems, is accidentally freed by Steven from a bubble inside Lion's mane. She is welcomed back with open arms by Pearl and Garnet, while Amethyst quickly warms up to her company. However, Steven soon notices that Bismuth's outlook on the rebellion is radically different from the other Gems' when she shows eagerness to re-ignite the Gem War with an unethical secret weapon."
100,22,"""Beta"" (Part 1)",Kat Morris (supervising)Ricky Cometa (art),Hilary Florido and Jesse Zuke,"August 8, 2016[nb 10]",1031-101,1.99[103]
